"","Date","mine_water_level"
"4142",2019-12-26,118.27
"4143",2019-12-27,118.21
"4144",2019-12-28,118.32
"4145",2019-12-29,118.3
"4146",2019-12-30,118.26
"4147",2019-12-31,118.24
"4148",2020-01-01,118.24
"4149",2020-01-02,118.21
"4150",2020-01-03,118.14
"4151",2020-01-04,118.21
"4152",2020-01-05,118.24
"4153",2020-01-06,118.19
"4154",2020-01-07,118.15
"4155",2020-01-08,118.14
"4156",2020-01-09,118.11
"4157",2020-01-10,118.07
"4158",2020-01-11,118.18
"4159",2020-01-12,118.11
"4160",2020-01-13,118.09
"4161",2020-01-14,117.99
"4162",2020-01-15,118.02
"4163",2020-01-16,118.11
"4164",2020-01-17,118.04
"4165",2020-01-18,118.08
"4166",2020-01-19,118.13
"4167",2020-01-20,118.21
"4168",2020-01-21,118.16
"4169",2020-01-22,118.11
"4170",2020-01-23,118.09
"4171",2020-01-24,118.02
"4172",2020-01-25,118.01
"4173",2020-01-26,117.98
"4174",2020-01-27,117.94
"4175",2020-01-28,117.85
"4176",2020-01-29,117.92
"4177",2020-01-30,117.96
"4178",2020-01-31,117.93
"4179",2020-02-01,117.92
"4180",2020-02-02,117.95
"4181",2020-02-03,117.94
"4182",2020-02-04,117.91
"4183",2020-02-05,118.04
"4184",2020-02-06,118.03
"4185",2020-02-07,117.98
"4186",2020-02-08,117.92
"4187",2020-02-09,117.89
"4188",2020-02-10,117.75
"4189",2020-02-11,117.81
"4190",2020-02-12,117.86
"4191",2020-02-13,117.85
"4192",2020-02-14,117.84
"4193",2020-02-15,117.88
"4194",2020-02-16,117.79
"4195",2020-02-17,117.81
"4196",2020-02-18,117.85
"4197",2020-02-19,117.78
"4198",2020-02-20,117.79
"4199",2020-02-21,117.82
"4200",2020-02-22,117.79
"4201",2020-02-23,117.77
"4202",2020-02-24,117.78
"4203",2020-02-25,117.64
"4204",2020-02-26,117.58
"4205",2020-02-27,117.65
"4206",2020-02-28,117.7
"4207",2020-02-29,117.57
"4208",2020-03-01,117.54
"4209",2020-03-02,117.52
"4210",2020-03-03,117.54
"4211",2020-03-04,117.58
"4212",2020-03-05,117.51
"4213",2020-03-06,117.39
"4214",2020-03-07,117.56
"4215",2020-03-08,117.54
"4216",2020-03-09,117.46
"4217",2020-03-10,117.42
"4218",2020-03-11,117.42
"4219",2020-03-12,117.37
"4220",2020-03-13,117.39
"4221",2020-03-14,117.39
"4222",2020-03-15,117.32
